,Left,Right
0,[],"[0.33727556467056274, 0.3196834325790405, 4.3340270394764957e-07, 0.33670222759246826, 0.3990098834037781, -0.04758646339178085, 0.36629682779312134, 0.4763988256454468, -0.06432807445526123, 0.3970729410648346, 0.5533625483512878, -0.06933210790157318, 0.42492273449897766, 0.593423068523407, -0.06915304064750671, 0.4514850378036499, 0.36843523383140564, -0.05814998224377632, 0.4723278284072876, 0.5051501989364624, -0.07230541110038757, 0.45428282022476196, 0.5622208118438721, -0.07634596526622772, 0.43613728880882263, 0.5860166549682617, -0.07587333768606186, 0.46671798825263977, 0.35865455865859985, -0.03343379497528076, 0.48673513531684875, 0.5074242353439331, -0.044898178428411484, 0.4600505828857422, 0.5561341047286987, -0.04538276046514511, 0.43650010228157043, 0.5689399242401123, -0.0444297231733799, 0.4681086838245392, 0.36709704995155334, -0.010694996453821659, 0.48214906454086304, 0.5024917721748352, -0.020507939159870148, 0.4572939872741699, 0.5384572148323059, -0.021803632378578186, 0.43466800451278687, 0.5420399904251099, -0.02140020951628685, 0.4644811153411865, 0.3849064111709595, 0.008968757465481758, 0.47296422719955444, 0.4850500822067261, 8.197802526410669e-05, 0.4537374973297119, 0.5218356847763062, -0.0034686571452766657, 0.4348466396331787, 0.5321043133735657, -0.0039006066508591175]"
1,[],"[0.3264722228050232, 0.43750959634780884, 6.14406133081502e-07, 0.3499872088432312, 0.3874978721141815, -0.07524851709604263, 0.4025334119796753, 0.42328593134880066, -0.1087687686085701, 0.43773630261421204, 0.5072413086891174, -0.1230114996433258, 0.4701281189918518, 0.571487307548523, -0.13313208520412445, 0.4367976188659668, 0.488072007894516, -0.12978005409240723, 0.4884875416755676, 0.6050759553909302, -0.16231116652488708, 0.5193890929222107, 0.6607171893119812, -0.17494040727615356, 0.5443434715270996, 0.6975152492523193, -0.18113262951374054, 0.4382089674472809, 0.5494710803031921, -0.09708786010742188, 0.5007761120796204, 0.6688430905342102, -0.13450737297534943, 0.5479171276092529, 0.7335630059242249, -0.1449449062347412, 0.5890966057777405, 0.7805912494659424, -0.1488802284002304, 0.43353381752967834, 0.5946963429450989, -0.06420493870973587, 0.47561126947402954, 0.6428834795951843, -0.09708322584629059, 0.4522038698196411, 0.6051574349403381, -0.09527792036533356, 0.43065202236175537, 0.5743809342384338, -0.08638896048069, 0.423038125038147, 0.6266660690307617, -0.035738080739974976, 0.4543514847755432, 0.6580318808555603, -0.061772771179676056, 0.44213560223579407, 0.6319952607154846, -0.06340240687131882, 0.4293575882911682, 0.6119987368583679, -0.05851837620139122]"
2,"[0.35114628076553345, 0.5530595779418945, 3.2376320291405136e-07, 0.390243798494339, 0.49109622836112976, -0.054688461124897, 0.4422036111354828, 0.5050964951515198, -0.07935715466737747, 0.4872463345527649, 0.5530105233192444, -0.09155554324388504, 0.5236989855766296, 0.6016566753387451, -0.10151418298482895, 0.46578794717788696, 0.5923523306846619, -0.07844412326812744, 0.5271018147468567, 0.6543100476264954, -0.1030719056725502, 0.5693446397781372, 0.6919738054275513, -0.11566904187202454, 0.6022850275039673, 0.7189406752586365, -0.12288589030504227, 0.45772138237953186, 0.664155125617981, -0.05746408924460411, 0.5171223282814026, 0.7346489429473877, -0.08192455768585205, 0.5589961409568787, 0.7732225656509399, -0.09145677834749222, 0.5921348929405212, 0.8026931881904602, -0.09630974382162094, 0.4491279423236847, 0.7097774744033813, -0.038772497326135635, 0.5050511360168457, 0.7760543823242188, -0.06292853504419327, 0.5431798696517944, 0.8095872402191162, -0.0716506838798523, 0.5746057629585266, 0.8357132077217102, -0.07485324144363403, 0.44456809759140015, 0.7317677736282349, -0.022902190685272217, 0.4881066381931305, 0.7779980897903442, -0.042666684836149216, 0.5138803124427795, 0.7989532947540283, -0.04943991079926491, 0.5329576730728149, 0.8131985068321228, -0.05169675499200821]",[]
3,"[0.38822007179260254, 0.635921061038971, 1.0932860305956638e-07, 0.43434375524520874, 0.5745145082473755, -0.003861072938889265, 0.4783695340156555, 0.5765814185142517, -0.003329402068629861, 0.5124183893203735, 0.6038669943809509, -0.0018383619608357549, 0.5366775393486023, 0.6274349689483643, 0.00011159532732563093, 0.5050391554832458, 0.6572578549385071, -0.0033829258754849434, 0.5563479661941528, 0.6912361979484558, -0.004516583867371082, 0.5833429098129272, 0.7129773497581482, -0.004302347544580698, 0.6038565039634705, 0.7335863709449768, -0.0035105603747069836, 0.49717622995376587, 0.7221008539199829, -0.002927137538790703, 0.5515267848968506, 0.7653141021728516, -0.003445269772782922, 0.5823677778244019, 0.7887680530548096, -0.0042335563339293, 0.6049205660820007, 0.8086391091346741, -0.004218872636556625, 0.48537975549697876, 0.7656687498092651, -0.0027597383596003056, 0.5344698429107666, 0.8033736944198608, -0.006148680113255978, 0.5640254616737366, 0.8255121111869812, -0.00938869547098875, 0.5859932899475098, 0.842969536781311, -0.0108038866892457, 0.47321370244026184, 0.791228711605072, -0.002199772745370865, 0.5086775422096252, 0.8190097808837891, -0.002295480575412512, 0.5291001796722412, 0.8313931226730347, -0.0002214215201092884, 0.5435559749603271, 0.8376360535621643, 0.0020110737532377243]",[]
4,[],"[0.36221957206726074, 0.32896357774734497, 5.486356258188607e-07, 0.36621907353401184, 0.4073958098888397, -0.04397423937916756, 0.39398300647735596, 0.48083972930908203, -0.059424351900815964, 0.42212003469467163, 0.5468745827674866, -0.06413862109184265, 0.4456908702850342, 0.5867189168930054, -0.06472118198871613, 0.47147005796432495, 0.37870922684669495, -0.049506351351737976, 0.4878668785095215, 0.5003960728645325, -0.06403090059757233, 0.4740804135799408, 0.5568638443946838, -0.07098321616649628, 0.4599796533584595, 0.5821014046669006, -0.0731295645236969, 0.48070502281188965, 0.3639676570892334, -0.026994457468390465, 0.4883978068828583, 0.49548208713531494, -0.03839894384145737, 0.4663660228252411, 0.5512061715126038, -0.0432775616645813, 0.44680294394493103, 0.5793492197990417, -0.04608432576060295, 0.4780212938785553, 0.3674832582473755, -0.006584713235497475, 0.4773465692996979, 0.48642492294311523, -0.016442421823740005, 0.45768555998802185, 0.5295519828796387, -0.019746141508221626, 0.4404319226741791, 0.5492563843727112, -0.021114910021424294, 0.4726351797580719, 0.3762722313404083, 0.010780826210975647, 0.47080475091934204, 0.4658324122428894, 0.00194036855828017, 0.4557535648345947, 0.5018917322158813, -0.0018247776897624135, 0.44165632128715515, 0.5205277800559998, -0.0025001533795148134]"
5,[],"[0.3958203196525574, 0.6089832186698914, 2.1557229956670199e-07, 0.4350431263446808, 0.5531510710716248, -0.023488426581025124, 0.47949063777923584, 0.5589367151260376, -0.02969355322420597, 0.5121902823448181, 0.5945404171943665, -0.03238600119948387, 0.5366328954696655, 0.6270787715911865, -0.033573441207408905, 0.5038273334503174, 0.6283169984817505, -0.014895462431013584, 0.5474837422370911, 0.6695026159286499, -0.025175675749778748, 0.5764297246932983, 0.6996809244155884, -0.032782454043626785, 0.5999131202697754, 0.7245417833328247, -0.03809775039553642, 0.49470055103302, 0.6804556250572205, -0.009200910106301308, 0.5346411466598511, 0.7289674878120422, -0.01843350939452648, 0.564603865146637, 0.7573601007461548, -0.02550715208053589, 0.5889111161231995, 0.7801739573478699, -0.030331123620271683, 0.4833310842514038, 0.716997504234314, -0.006758025847375393, 0.520449697971344, 0.7655710577964783, -0.020077871158719063, 0.5512734055519104, 0.7905650734901428, -0.028224864974617958, 0.5753042101860046, 0.8092932105064392, -0.03227361664175987, 0.4719657003879547, 0.7420563697814941, -0.006051947362720966, 0.5034087300300598, 0.7789900898933411, -0.019237075001001358, 0.527836263179779, 0.798690140247345, -0.025399204343557358, 0.5476000905036926, 0.8147354125976562, -0.02821497805416584]"
6,[],"[0.3790472447872162, 0.30163225531578064, 3.519477900226775e-07, 0.3742625117301941, 0.37731003761291504, -0.04455394297838211, 0.3974052667617798, 0.4537171423435211, -0.06352481991052628, 0.42572829127311707, 0.5267722606658936, -0.07159679383039474, 0.45410943031311035, 0.5693090558052063, -0.07576508820056915, 0.4799172878265381, 0.365073025226593, -0.060424577444791794, 0.48294445872306824, 0.4916144907474518, -0.07614214718341827, 0.46274450421333313, 0.5360772609710693, -0.08194132149219513, 0.4468909800052643, 0.5505101084709167, -0.08335824310779572, 0.49652034044265747, 0.3453125059604645, -0.03966062515974045, 0.49850913882255554, 0.4816272556781769, -0.050539638847112656, 0.4764849841594696, 0.5207090377807617, -0.049918100237846375, 0.4597107768058777, 0.530068039894104, -0.04906824603676796, 0.4990878403186798, 0.3387552797794342, -0.02058977447450161, 0.49239978194236755, 0.4651695787906647, -0.030054720118641853, 0.4698818624019623, 0.48762843012809753, -0.026835940778255463, 0.45397886633872986, 0.48672136664390564, -0.023995686322450638, 0.4948482811450958, 0.34194445610046387, -0.004548154305666685, 0.4914495050907135, 0.4360450804233551, -0.01210265513509512, 0.474267840385437, 0.4591478705406189, -0.010848509147763252, 0.46049967408180237, 0.4632026255130768, -0.008243560791015625]"
7,[],"[0.37171855568885803, 0.2947952151298523, 3.7549096987277153e-07, 0.37173405289649963, 0.3701913058757782, -0.04437693580985069, 0.3988924026489258, 0.4465343952178955, -0.062019575387239456, 0.43060436844825745, 0.5146505832672119, -0.06960559636354446, 0.45987197756767273, 0.552964448928833, -0.07301840931177139, 0.4782909154891968, 0.3365201950073242, -0.05672231316566467, 0.4838376045227051, 0.4676479399204254, -0.07747937738895416, 0.47127556800842285, 0.5227982997894287, -0.08668515831232071, 0.46365228295326233, 0.5459065437316895, -0.0905677080154419, 0.494920551776886, 0.3296930193901062, -0.03855477645993233, 0.49554377794265747, 0.4836503565311432, -0.05929509177803993, 0.4660462737083435, 0.5100160837173462, -0.06191598251461983, 0.45064839720726013, 0.4995627999305725, -0.06049087643623352, 0.49859586358070374, 0.33710697293281555, -0.022582359611988068, 0.4917653203010559, 0.47916972637176514, -0.041646022349596024, 0.4621633291244507, 0.4830203056335449, -0.03630518540740013, 0.4491194486618042, 0.4607493579387665, -0.028640013188123703, 0.4964825510978699, 0.3478647768497467, -0.009641035459935665, 0.49212056398391724, 0.45874467492103577, -0.02197802998125553, 0.46896496415138245, 0.46732136607170105, -0.018145794048905373, 0.45642992854118347, 0.45193013548851013, -0.012078270316123962]"
8,"[0.3940703272819519, 0.5892689228057861, 1.4478760590463935e-07, 0.44352224469184875, 0.5332844257354736, -0.007777573075145483, 0.4904029071331024, 0.5415316820144653, -0.007110265549272299, 0.5252901911735535, 0.5723236799240112, -0.004769122693687677, 0.5488723516464233, 0.6005068421363831, -0.0020428530406206846, 0.514177680015564, 0.6311474442481995, -0.0027470418717712164, 0.5610270500183105, 0.6651700735092163, -0.0017174496315419674, 0.5868092775344849, 0.6839801669120789, -0.0011329124681651592, 0.6073418855667114, 0.704757809638977, -0.0009827999165281653, 0.5023542046546936, 0.6948910355567932, -0.00017646056949160993, 0.5544159412384033, 0.7438587546348572, 0.00047672673827037215, 0.5840640068054199, 0.7711423635482788, -0.0007092160522006452, 0.6071999669075012, 0.7955487370491028, -0.0013950811699032784, 0.4860108196735382, 0.7300843596458435, 0.0016635162755846977, 0.5324041843414307, 0.7725220918655396, -0.002486586105078459, 0.5631636381149292, 0.7994409799575806, -0.008073215372860432, 0.5875933766365051, 0.8221838474273682, -0.011510644108057022, 0.4695918560028076, 0.7431977391242981, 0.003763000713661313, 0.5012275576591492, 0.7619509696960449, 0.002669197740033269, 0.519121527671814, 0.7620614767074585, 0.0038400886114686728, 0.530697226524353, 0.758105456829071, 0.0049609229899942875]",[]
9,[],"[0.3581915497779846, 0.28817158937454224, 1.0843356790246617e-07, 0.36536940932273865, 0.3608282506465912, -0.0540679506957531, 0.3974308371543884, 0.4268834888935089, -0.0733952522277832, 0.42819830775260925, 0.4939715266227722, -0.07935500890016556, 0.4528622031211853, 0.5311894416809082, -0.08022744208574295, 0.48253220319747925, 0.31989410519599915, -0.06679593026638031, 0.4878075420856476, 0.461177259683609, -0.08031260967254639, 0.47042542695999146, 0.5101923942565918, -0.08269518613815308, 0.46286216378211975, 0.5237821340560913, -0.08334530889987946, 0.49655723571777344, 0.31400659680366516, -0.04164276644587517, 0.48731938004493713, 0.4626690745353699, -0.05576306954026222, 0.4540424048900604, 0.47662675380706787, -0.05568815767765045, 0.4379355013370514, 0.4531080722808838, -0.05431821942329407, 0.49713778495788574, 0.32436200976371765, -0.018859827890992165, 0.48746880888938904, 0.4595915377140045, -0.03530823439359665, 0.45435309410095215, 0.4649963676929474, -0.0347360298037529, 0.4382292330265045, 0.4446035921573639, -0.03140434995293617, 0.4917566180229187, 0.3402802348136902, 0.0005379591602832079, 0.48608633875846863, 0.43943068385124207, -0.013583830557763577, 0.46214473247528076, 0.45189663767814636, -0.015671607106924057, 0.44803446531295776, 0.4399382770061493, -0.013824407011270523]"
